T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-2.238	-3.508	-3.847	-5.519	168.043	131.230	34.977	56.347
-1.410	-4.260	-3.349	-5.085	117.709	166.354	178.214	293.145
-1.557	-4.613	-3.919	-5.136	93.846	116.746	85.084	95.076
-2.102	-3.590	-3.001	-5.466	57.196	67.600	75.872	129.917
-1.397	-3.748	-2.610	-4.717	81.967	175.542	179.071	298.182
-1.988	-5.254	-4.534	-5.804	55.324	98.173	175.001	198.233
-2.039	-4.717	-4.099	-5.594	94.159	183.682	110.304	146.334
-1.401	-2.709	-2.154	-4.731	104.612	129.878	60.094	123.536
-2.357	-1.110	-3.056	-3.852	400.934	144.436	177.603	269.815
-4.154	-7.461	-6.099	-7.676	36.599	90.153	141.781	220.309
-6.410	-8.002	-6.677	-9.514	33.011	70.397	115.529	181.247
-1.585	-4.089	-3.431	-4.748	73.384	166.990	75.154	95.485
-2.847	-4.163	-4.176	-5.196	74.223	157.619	39.672	102.274
-1.221	-3.082	-2.550	-4.480	137.732	136.887	132.752	286.330
-1.477	-3.378	-2.868	-5.216	121.271	127.381	187.511	349.667
-3.272	-4.544	-3.471	-6.832	56.980	36.639	134.508	398.330
-3.358	-5.700	-5.023	-7.075	69.262	104.809	108.896	176.092
-2.310	-4.591	-4.370	-6.337	63.029	92.504	159.554	274.766
-1.182	-2.518	-1.660	-4.852	136.047	122.930	84.829	223.816
-1.467	-3.051	-2.031	-5.062	79.480	136.732	164.056	277.248
-1.891	-4.214	-4.056	-5.902	55.409	107.664	55.560	84.435
-2.280	-3.745	-2.694	-5.810	38.178	52.277	51.731	60.568
-1.623	-3.961	-2.947	-5.019	75.622	111.999	92.804	141.460
-94.510	-22.420	-21.992	-22.809	33.960	49.740	29.677	44.947
-9.400	-11.115	-11.444	-9.648	55.464	70.417	52.529	18.027
-1.447	-3.748	-2.185	-5.084	52.019	120.874	51.082	100.504
-2.113	-4.293	-3.181	-5.636	70.510	122.142	161.796	289.405
-1.533	-3.417	-2.705	-4.775	56.053	66.315	202.348	300.446
-1.768	-3.257	-2.831	-5.529	67.079	68.146	44.419	122.879
-1.357	-2.633	-1.817	-4.512	100.971	109.500	160.633	285.439
-1.459	-2.460	-1.969	-4.644	74.721	121.496	119.049	217.758
-1.395	-2.366	-1.884	-4.397	88.166	74.916	164.103	278.973
-3.532	-4.677	-4.164	-7.004	47.913	36.729	33.646	78.597
