#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-4.443	-4.798	-5.299	-7.561	21.929	36.153	172.197	269.803
-1.139	-1.933	-3.531	-1.906	125.364	78.654	176.368	135.950
-3.344	-1.571	-2.103	-5.140	306.377	98.913	177.497	327.136
-3.876	-53.889	-4.863	-5.164	43.257	37.257	114.804	197.017
-1.043	-1.395	-2.084	-1.909	103.016	116.269	77.960	73.335
-12.618	-13.176	-14.563	-14.440	91.391	38.361	79.004	78.413
-1.883	-5.605	-6.973	-4.286	26.663	70.480	325.468	175.991
-2.762	-1.692	-5.334	-3.360	143.481	67.031	249.927	216.308
-3.633	-1.762	-3.532	-4.598	129.737	82.097	71.781	101.062
-1.724	-4.186	-5.893	-3.000	65.596	92.798	334.100	169.608
-1.223	-2.835	-3.080	-3.976	66.643	96.431	167.290	281.865
-1.330	-1.392	-2.951	-2.748	79.812	89.072	191.139	179.110
-1.453	-1.633	-3.191	-2.868	109.712	93.652	93.385	87.788
-1.535	-1.992	-3.659	-2.897	77.015	79.774	189.217	151.401
-3.425	-1.856	-2.699	-4.672	196.992	79.692	182.689	297.793
-1.183	-2.507	-4.284	-2.569	127.185	148.619	260.499	199.439
-5.382	-5.145	-7.113	-6.840	23.322	38.835	90.835	95.595
-1.016	-1.339	-2.160	-2.507	171.296	152.173	120.143	106.199
-1.232	-1.661	-2.617	-2.433	51.826	98.757	238.729	236.937
-3.387	-3.516	-5.345	-5.066	117.062	62.331	87.340	98.004
-2.304	-3.201	-4.433	-3.915	44.511	49.111	94.570	93.360
-108.102	-107.832	-2.129	-2.861	-2176.545	-1820.097	40.256	47.761
-2.287	-1.400	-3.140	-3.501	129.154	82.790	224.215	243.808
-5.767	-1.803	-68.379	-69.801	128.227	34.969	160.101	276.022
-6.155	-9.227	-10.599	-7.841	51.592	64.979	62.296	35.911
-79.201	-3.372	-4.640	-3.016	74.797	110.697	137.625	139.967
-1.573	-2.913	-4.957	-3.630	72.221	59.490	210.247	151.311
-3.737	-2.045	-4.577	-5.442	74.854	41.130	128.504	141.899
-1.400	-3.758	-5.167	-2.919	95.480	151.752	263.460	189.105
-3.334	-1.845	-3.124	-4.862	163.921	57.598	160.901	216.492
-3.432	-2.126	-3.227	-4.749	207.130	80.676	176.912	283.610
-1.768	-1.982	-3.512	-2.808	69.281	58.466	38.229	34.645
